modelo_avaliado,familia_modelo,n,media_gpt_judge,dp_gpt_judge,media_gemini_judge,dp_gemini_judge,media_claude_judge,dp_claude_judge,media_tres_julgadores
gpt-5.1,gpt,101,4.099009900990099,1.1705122852413765,4.465346534653466,1.0541760425625653,4.326732673267327,1.0964388801122396,4.297029702970297
claude-opus-4-6,claude,101,4.03960396039604,1.248365267693778,4.584158415841584,0.9084858472499534,3.900990099009901,1.3675156342437151,4.1749174917491745
z-ai_glm-5.1,outros,101,4.128712871287129,1.1459787636482073,4.237623762376238,1.266084632648901,3.9207920792079207,1.3166865102736618,4.095709570957096
deepseek-ai_deepseek-v4-flash,outros,101,4.02970297029703,1.2365714338003644,4.148514851485149,1.3370575052245242,3.98019801980198,1.3489269662943357,4.052805280528053
google_gemma-4-31b-it,outros,101,3.9306930693069306,1.3509805753050206,4.247524752475248,1.4028965791822245,3.891089108910891,1.4415338365713786,4.023102310231023
qwen_qwen3.5-122b-a10b,outros,101,3.9603960396039604,1.3922700318487642,4.207920792079208,1.395111692182159,3.8613861386138613,1.4354769449231641,4.00990099009901
gemini-3-pro-preview,gemini,101,3.9702970297029703,1.3149558589135566,4.267326732673268,1.1907232181234302,3.742574257425743,1.487638836186624,3.9933993399339935
mistralai_mixtral-8x22b-instruct-v0.1,outros,101,3.9603960396039604,1.2721697377253391,4.069306930693069,1.3360945007189742,3.900990099009901,1.17902460105843,3.9768976897689767
openai_gpt-oss-120b,gpt,101,3.782178217821782,1.3827795225272872,3.99009900990099,1.493285300971991,3.8316831683168315,1.4076171846826329,3.867986798679868
qwen2-72B-Instruct,outros,202,3.9207920792079207,1.2904792454441194,3.891089108910891,1.4855924332037496,3.742574257425743,1.2979391651953311,3.8514851485148514
meta_llama-3.3-70b-instruct,outros,101,3.801980198019802,1.4698285749038764,4.02970297029703,1.5649629103883227,3.5643564356435644,1.5774399613561108,3.798679867986799
